Категория,Уровень (L1/L2/L3),Приоритет,Метрика,Важность,Как улучшать,Ловушки,Частота,Формула / Определение,Числитель,Знаменатель,Owner,Bench: Tier-1 (EU/AU),Bench: LatAm/CIS,Bench: India/SEA,Alert (Red),Alert (Yellow),Источник данных,Зависимости,Разрезы (теги)
Revenue Dynamics,L2,Should,Expansion NGR,"Дополнительный доход от существующих игроков: рост чека, частоты, кросс-продажи. Самый дешёвый источник роста, не нужно тратить на привлечение, игроки уже здесь","1) Кросс-продажи казино↔спорт (конверсия 10-20% при правильной CRM-стратегии)
2) VIP-программы, которые мотивируют увеличивать средний депозит
3) Персональные рекомендации игр на основе истории
4) Реактивация «спящих» с потенциалом (вносили депозит, но неактивны >30 дней)","1) Рост за счёт агрессивного давления CRM = рост рисков проблемного гемблинга и ускорение оттока
2) Кросс-продажи работают только если второй продукт качественный: плохой спортсбук убьёт удержание в казино
3) Расширение NGR может быть иллюзорным, если не вычесть дополнительные расходы на бонусы для стимулирования",Monthly,"Рост NGR от существующих игроков (upgrade VIP tier, increase stakes, new verticals)",NGR from existing players in current period − NGR from same players in previous period (where positive),—,VIP,>15% of total NGR,>20% of total NGR,>25% of total NGR,<5% of total NGR,<10%,BI,NGR,"VIP tier, продукт, сегмент"
Revenue Dynamics,L2,Should,Contraction NGR,"Потери от снижения активности существующих игроков. Это ранний сигнал тревоги, сначала игроки тратят меньше, а потом уходят совсем","1) Строить модель раннего предупреждения: снижение частоты или суммы депозитов на 30%+ за 2 недели = сигнал
2) Точечные CRM-предложения для сегмента сокращения: возвратный бонус, персональный оффер
3) Если сокращение коррелирует с изменениями в продукте, откатить
4) Анализировать посегментно: в каком именно продукте/стране происходит сокращение?","1) Не всякое сокращение, проблема: уход абьюзеров бонусов и проблемных игроков очищает базу
2) Сезонные спады, норма: между крупными спортивными событиями ставки на спорт всегда проседают
3) Сокращение в когортном разрезе может расти просто из-за естественного старения когорт",Monthly,"Потеря NGR от игроков, снизивших активность (downtrade: меньше ставки, реже визиты)",NGR from existing players in previous period − NGR from same players in current period (where positive),—,Product / CRM,<10% of total NGR,<12% of total NGR,<15% of total NGR,>20% of total NGR,>15%,BI,NGR,"причина, сегмент"
Unit Economics,L1,Must,LTV,"Пожизненная ценность игрока (Lifetime Value): главный якорь для бюджета на привлечение. Определяет, сколько можно заплатить за нового игрока и при этом остаться в плюсе","1) Увеличивать срок жизни игрока через программы удержания и VIP
2) Растить доход на игрока через кросс-продажи и персонализацию
3) Снижать расходы на бонусы, чтобы увеличить чистый LTV
4) В привлечении фокусироваться на сегменты с высоким LTV: органика, SEO, брендовый трафик","1) LTV на когортах моложе 90 дней, ненадёжен: игроки могут вернуться через 3-6 месяцев
2) Прогнозный LTV (pLTV) строится на ранних сигналах, но точность ±30% для новых стран без истории
3) LTV без указания временного окна бессмысленен: LTV за 30 дней, за 90 дней и за год, кратно разные числа
4) Всегда считать по NGR, не по GGR. LTV по GGR завышает ценность игрока",Monthly,Когортный: ∑ cumulative NGR за период. Прогнозный: ARPU(NGR) × (1/Monthly Churn Rate). НЕ ARPU × Lifetime (завышает),Cumulative NGR когорты,Cohort size,Product / Finance,"Casino: ~$300–1200, Sports: ~$150–500","Casino: ~$100–400, Sports: ~$50–200","Casino: ~$30–150, Sports: ~$15–70",LTV:CAC <2,LTV:CAC <3,BI,"ARPU, Avg Lifetime (Days)","ГЕО, канал, сегмент"
Unit Economics,L1,Must,LTV:CAC,"Соотношение пожизненной ценности к стоимости привлечения, эффективность инвестиций в привлечение. Ориентир: LTV:CAC больше 3x для устойчивого бизнеса. Меньше, бизнес не зарабатывает на привлечённых игроках","1) Растить LTV: удержание, оптимизация дохода на игрока, снижение расходов на бонусы
2) Снижать CAC: оптимизация конверсии воронки, рост доли органики, пересмотр условий с партнёрами
3) Отключать каналы с LTV:CAC ниже 1.5x, они убыточные
4) Перенаправлять бюджет на каналы с доказанным LTV:CAC выше 3x","1) LTV:CAC больше 5x может означать недоинвестирование в рост: есть запас для более агрессивного привлечения
2) LTV:CAC по общему трафику скрывает убыточные каналы: считать по каждому источнику отдельно
3) CAC через партнёров (CPA) и через платную рекламу, вещи разные: партнёрский включает только стоимость первого депозита, платный, все показы",Monthly,LTV / CAC. Целевое ≥3,LTV,CAC,Marketing,≥3,≥3,≥2.5,<2,<3,BI,"LTV, CAC","ГЕО, канал"
Unit Economics,L1,Must,CAC,"Стоимость привлечения одного платящего игрока (Customer Acquisition Cost). Определяет всю юнит-экономику: если привлечение дороже, чем игрок принесёт, бизнес теряет деньги на каждом клиенте","1) Оптимизировать конверсию на каждом шаге воронки: каждый +1% конверсии регистрации в первый депозит снижает CAC на 3-5%
2) Растить органику, SEO, бренд, для снижения среднего CAC
3) Торговаться по CPA с партнёрами (при объёмах больше 500 первых депозитов в месяц, есть рычаг)
4) A/B-тестировать посадочные страницы и формы регистрации","1) Дешёвый CAC не значит хороший: мотивированный трафик даёт CAC ~$5, но LTV ~$3, в итоге убыток
2) CAC без привязки к LTV когорты бесполезен: всегда считать в паре
3) Определение CAC различается: CPA (стоимость первого депозита) и настоящий CAC (все маркетинговые расходы / количество первых депозитов): разные вещи. Зафиксировать в команде, что именно считаете",Monthly,Total Ad Spend / FTD Count. НЕ умножать на LTV (это отдельная метрика),Total Ad Spend,FTD Count,Marketing,~$50–200 (depends on channel),~$20–80,~$5–25,CAC > LTV,CAC > LTV/3,BI,CPD (Cost per FTD),"ГЕО, кампания, канал"
Unit Economics,L1,Must,Payback Period (months),"Через сколько месяцев когорта окупает затраты на привлечение. Критично для денежного потока: чем длиннее окупаемость, тем больше нужно оборотных средств","1) Растить ранний доход на игрока: приветственные механики, оптимизация первой сессии, быстрый второй депозит
2) Снижать CAC через конверсию воронки
3) Бонусная стратегия с акцентом на раннюю монетизацию: приветственный бонус стимулирует ранний доход
4) Оптимизировать первые 7 дней: удержание D1-D7 определяет ~60% LTV","1) Окупаемость дольше 6 месяцев требует серьёзного запаса наличности. В iGaming целевой срок, 1-3 месяца
2) Окупаемость по общей когорте скрывает, что органика окупается за 2 недели, а платный трафик, за 6 месяцев
3) Окупаемость не учитывает «хвост»: игрок может быть убыточным 3 месяца, а потом стать VIP",Monthly,Через сколько месяцев CAC окупается. Payback = CAC / (Monthly NGR per player). Критично для оценки каналов,CAC,Monthly ARPU(NGR),Marketing,"<3 mo (casino), <2 mo (sports)","<4 mo (casino), <3 mo (sports)","<5 mo (casino), <3 mo (sports)",>6 months,>4 months,BI,"CAC, ARPU","ГЕО, канал, сегмент"
Unit Economics,L1,Must,CM per UA (Contribution Margin per traffic unit),"Прибыль с каждой единицы трафика после всех переменных расходов. Формула: (LTV − CAC − бонусы − поддержка − платёжные комиссии) × конверсию Reg2FTD. Ориентир: EU >~$5, LatAm >~$2, SEA >~$0.5","1) Считать по каналам: органика обычно ~$15-30 (нулевой CAC), платный поиск ~$3-8, Facebook ~$1-5, партнёры ~$2-6. Отключать каналы с CM/UA ниже нуля больше 60 дней
2) Рычаг конверсии: рост Reg2FTD на 5 п.п. при CPR ~$10 увеличивает CM/UA на ~$0.50. A/B-тестирование онбординга, самый дешёвый рычаг
3) Снижение переменных расходов: автоматизация KYC (с ~$3 до ~$0.30), чат-бот для первой линии (экономия 60% на тикет), маршрутизация платежей (экономия 0.5-1%)
4) Считать CM/UA на когорте 90+ дней, ранние когорты показывают минус из-за приветственного бонуса","1) CM/UA, это не выручка/UA: CM вычитает все переменные расходы. Канал с выручкой ~$20 и расходами ~$25 имеет CM/UA −$5. Выручка маскирует убытки
2) Объём vs маржа: канал с CM/UA ~$2 и 10 тыс. первых депозитов в месяц лучше по абсолютной прибыли, чем канал с CM/UA ~$10 и 500 первых депозитов. Оптимизировать общую CM, не удельную
3) CM/UA нестабилен в первые 60-90 дней когорты, LTV ещё не реализован. Минимум 90 дней зрелости когорты для решения об отключении канала",Monthly,Маржинальность на единицу трафика. CM/UA = (LTV − CAC − Bonus Cost Acq) × Reg2FTD. Показывает рентабельность канала,(LTV − CAC − Bonus Cost Acq) × Reg2FTD,—,Marketing,>~$5,>~$2,>~$0.5,<0 (loss),0−~$2,BI,"Contribution Margin, Registrations","ГЕО, кампания, канал"
Unit Economics,L1,Must,CM per Player (Contribution Margin per buyer),"Прибыль на одного платящего игрока после всех переменных расходов. Итоговый показатель экономической ценности клиента, сколько бизнес реально зарабатывает на каждом","1) Растить доход на игрока при контроле переменных расходов
2) Автоматизировать обслуживание массового сегмента (чат-бот, самообслуживание KYC)
3) Разделить уровни сервиса: VIP получают персонального менеджера, масса, автоматизацию
4) Оптимизировать платёжные комиссии через маршрутизацию по методам оплаты","1) Средний CM скрывает разброс: VIP с доходом ~$5000 может быть убыточным из-за компенсаций на ~$6000
2) CM на игрока в LatAm и Азии в 3-10 раз ниже, чем в Европе: юнит-экономику нужно адаптировать под рынок
3) Отрицательный CM по новым когортам в первые 1-2 месяца, это нормально (срок окупаемости)",Monthly,Маржинальность на одного FTD-игрока. CM/Player = LTV − CLTC (all variable costs) − amortized CAC,LTV − CLTC − CAC,—,Product / Finance,>~$30,>~$10,>~$3,<0,~$0−~$20,BI,"Contribution Margin, Active Depositors","ГЕО, канал, сегмент"
Unit Economics,L1,Must,Unit Profit per Player,"Финальный вердикт юнит-экономики: LTV − CAC − стоимость обслуживания − стоимость приветственного бонуса. Если число положительное, можно масштабироваться. Если отрицательное, каждый новый игрок приносит убыток","1) Комплексная оптимизация всех компонентов: LTV↑, CAC↓, расходы на обслуживание↓, расходы на бонусы↓
2) Фокусироваться на сегменты с наивысшей юнит-прибылью: органические казино-игроки обычно лидируют
3) Отключать убыточные сегменты или каналы, которые не приносят прибыль за 6 месяцев
4) Продуктовые улучшения, увеличивающие удержание, дают наибольшую отдачу на юнит-прибыль","1) Юнит-прибыль может быть отрицательной для новых стран первые 3-6 месяцев, при росте это нормально
2) Юнит-прибыль по всей базе маскирует убыточные сегменты: считать по источнику × стране × продукту
3) Не оптимизировать юнит-прибыль через урезание бонусов без A/B-теста: можно потерять объём",Monthly,Чистая прибыль на одного FTD: ARPU(NGR) − Provider Fees − Bonus Cost − Payment Fees − CAC (amortized per month),NGR − Provider Fees − Bonus − Payment Fees − CAC/Lifetime,—,Product / Finance,>~$10/mo,>~$3/mo,>~$1/mo,<0,~$0−~$10,BI,"ARPU, CLTC (Customer Lifetime Cost)","VIP tier, ГЕО, канал"
Unit Economics,L2,Should,ARPU,"Средний доход на пользователя (Average Revenue Per User): основа для расчёта LTV и оценки качества когорт. Важно: считать по NGR, не по GGR, иначе цифра будет завышенной","1) Растить частоту депозитов через CRM-триггеры при низком балансе
2) Увеличивать средний депозит через предложенные суммы и бонусы за пополнение
3) Оптимизировать набор игр для увеличения времени на сайте и раундов за сессию
4) Кросс-продажи для увеличения доли кошелька (больше продуктов, больше тратит)","1) ARPU без сегментации бесполезен: 1 кит с ARPU ~$10 000 и 999 игроков с ARPU ~$5 дают средний ARPU ~$15, но это не описывает ни одного реального игрока
2) Всегда смотреть медиану рядом со средним. Если медиана намного меньше среднего, экономика держится на китах
3) ARPU по GGR и ARPU по NGR могут расходиться при росте бонусов: считать по NGR",Monthly,Revenue (GGR или NGR) / Active Users,GGR или NGR,Active Users (MAU),Product,"Casino: ~$50–150/mo, Sports: ~$30–80/mo","Casino: ~$20–60/mo, Sports: ~$10–35/mo","Casino: ~$5–20/mo, Sports: ~$3–10/mo",Drop >20% MoM,Drop >10% MoM,BI,"GGR, PAU (Playing Active Users)","ГЕО, продукт, сегмент"
Unit Economics,L2,Should,ARPPU (Deposits),"Средние депозиты на платящего пользователя (ARPPU). Формула: сумма депозитов / PAU. Показывает, сколько в среднем вносит каждый активный платящий игрок. Ориентиры: EU ~$80-250/мес, LatAm ~$30-100, SEA ~$10-40","1) Увеличивать средний депозит через грамотные значения по умолчанию (предзаполненные суммы)
2) Растить повторные депозиты через удобство оплаты (сохранённые методы, 1 клик)
3) Персонализировать предложения по уровню депозита (микро-вносители vs хай-роллеры)
4) Программы лояльности, привязанные к объёму депозитов","1) Рост ARPPU при падении конверсии Reg2FTD = воронка сужается до только ценных игроков, а база не растёт
2) ARPPU по депозитам может расти за счёт нескольких хай-роллеров, а средний игрок вносит всё меньше. Считать медиану, а не среднее
3) В странах с низким средним депозитом (Индия ~$5-10, Бангладеш ~$3-5) ARPPU будет на порядок ниже Европы",Monthly,Sum Deposits / PAU (paying active users),Total Deposits,PAU,Product,~$80–250/mo,~$30–100/mo,~$10–40/mo,Drop >25% MoM,Drop >15% MoM,BI,"NGR, Active Depositors","ГЕО, продукт, сегмент"
Unit Economics,L2,Should,CLTC (Customer Lifetime Cost),"Полная стоимость обслуживания игрока за всю его жизнь: поддержка, верификация, платёжные комиссии, фрод. Обратная сторона LTV, то, что бизнес тратит на каждого клиента помимо привлечения","1) Автоматизация KYC: OCR + API-верификация снижает стоимость с ~$2-5 до ~$0.2-0.5 на игрока
2) Чат-бот + база знаний для первой линии поддержки
3) Оптимизация маршрутизации платежей для минимизации комиссий
4) Предотвращение фрода снижает стоимость расследований на одного игрока","1) CAC не входит в CLTC, это разные метрики. CLTC = только операционные расходы на обслуживание
2) CLTC растёт со сроком жизни: чем дольше игрок активен, тем больше тикетов, обновлений KYC
3) CLTC на регулируемых рынках (Европа) выше из-за расходов на комплаенс (KYC, AML, ответственная игра)",Monthly,Все переменные расходы на игрока за lifetime: бонусы + провайдер fees + платёжные комиссии + CRM + support,Bonus cost + Provider fees + Payment fees + CRM cost + Support cost (per player),—,Finance,~$20–60,~$10–30,~$3–10,CLTC > LTV × 0.7,CLTC > LTV × 0.5,BI,"CAC, Avg Lifetime (Days)","продукт, сегмент"
Unit Economics,L2,Should,1sCOGS (Welcome Bonus Cost per FTD),"Стоимость приветственного бонуса на одного игрока с первым депозитом. Первая инвестиция после затрат на привлечение, определяет раннюю экономику. По сути, сколько стоит «встретить гостя»","1) A/B-тестировать приветственные офферы: 100% матч vs фриспины vs бездепозитный бонус
2) Сегментировать по каналу: органика может получать меньший бонус и всё равно конвертиться
3) Оптимизировать условия отыгрыша: x30-x40 для массы, x15-x20 для VIP
4) Невыводимые бонусы вместо реальных денег (дешевле, но менее привлекательны для игрока)","1) Высокая стоимость приветственного бонуса удлиняет окупаемость, но может поднять конверсию в первый депозит на 20-50%: это компромисс
2) Конкурентная гонка в приветственных офферах: бонус ~$1000 не всегда бьёт бонус ~$200, проверять тестами
3) Партнёры оценивают бренд по приветственному офферу: слишком маленький, меньше трафика от партнёров",Monthly,Стоимость привлечения: welcome bonus + freebet/freespin + первый cashback. «Цена входа» для нового игрока,Total welcome promo cost,FTD count,CRM,~$20–60,~$10–35,~$3–15,>~$80,>~$60,BI,"Bonus Cost (Absolute), FTD Count","offer type, ГЕО, канал"
Unit Economics,L2,Should,Revenue per Visit (RPV),"Чистый доход (NGR) на один визит сайта. Связывает маркетинговый трафик с монетизацией, полезен для закупки рекламы и оценки посадочных страниц","1) Растить конверсию на каждом шаге воронки: клик → регистрация → первый депозит
2) Увеличивать средний первый депозит через UX и предложенные суммы
3) Оптимизировать посадочные страницы под намерение (одна для казино, другая для спорта)
4) Снижать показатель отказов через скорость загрузки и релевантность контента","1) RPV кратно отличается по источникам: органический RPV может быть в 10 раз выше платного. Считать раздельно
2) RPV за день или неделю нестабилен: считать за 30+ дней для корректного среднего
3) RPV не учитывает LTV: посетитель может не конвертироваться сегодня, но вернуться через неделю",Daily,NGR на один визит. Помогает оценить качество трафика без привязки к конверсии,NGR,Total visits (sessions),Marketing,~$0.5–3,~$0.2–1,~$0.05–0.3,Drop >30% MoM,Drop >15% MoM,BI,"NGR, DAU / WAU / MAU","device, ГЕО, канал"
